Timestamp,Soil Moisture (%),Light Intensity (%),Humidity (%),Temperature (C)
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,64%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,64%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,64%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,65%,26%,25%,24C
2024-12-13 20:36,64%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,64%,26%,24%,24C
2024-12-13 20:38,64%,26%,25%,24C
2024-12-13 20:38,65%,26%,25%,24C
2024-12-13 20:38,65%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,65%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,64%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,62%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
